type,neighborhood,address,price,beds,baths,sqft,url
Rental Unit,Ditmars-Steinway,21-14 Crescent Street #E1,"$2,260",1 Bed,1 Bath,NA,https://streeteasy.com/building/21_14-crescent-street-astoria/e1
Rental Unit,Fort Hamilton,146 92nd Street #7C,"$1,995",1 Bed,1 Bath,NA,https://streeteasy.com/building/146-92-street-brooklyn/7c
Rental Unit,Hudson Heights,37 Overlook Terrace #2G,"$2,100",1 Bed,1 Bath,NA,https://streeteasy.com/building/37-overlook-terrace-new_york/2g
Rental Unit,Ditmars-Steinway,21-54 Crescent Street #A1,"$2,210",1 Bed,1 Bath,NA,https://streeteasy.com/building/21_52-crescent-street-astoria/a1
Rental Unit,Ocean Hill,17 Somers Street #7D,"$2,350",1 Bed,1 Bath,601,https://streeteasy.com/building/the-somers/7d
House,Stuyvesant Heights,962 Greene Avenue #4R,"$2,375",1 Bath,"
                673
                square feet
ft²
",NA,https://streeteasy.com/building/962-greene-avenue-brooklyn/4r
Rental Unit,East Harlem,172 East 106th Street #2B,"$2,180",Studio,1 Bath,NA,https://streeteasy.com/building/172-east-106-street-new_york/2b
Rental Unit,Beekman,400 East 50th Street #5F,"$2,195",Studio,1 Bath,NA,https://streeteasy.com/building/400-east-50-street-new_york/5f
Rental Unit,Sunnyside,48-37 47th Street #1F,"$2,300",1 Bed,1 Bath,NA,https://streeteasy.com/building/48_37-47-street-woodside/1f
Co-op,Fort Hamilton,150 95th Street #5E,"$2,000",Studio,1 Bath,NA,https://streeteasy.com/building/150-95-street-brooklyn/5e
Co-op,Hamilton Heights,345 West 145th Street #7B4,"$2,400",Studio,1 Bath,NA,https://streeteasy.com/building/345-west-145-street-new_york/7b4
Co-op,Downtown Brooklyn,215 Adams Street #6D,"$2,400",Studio,1 Bath,460,https://streeteasy.com/building/215-adams-street-brooklyn/6d?featured=1
Rental Unit,Kew Gardens,132-77 Metropolitan Avenue #4F,"$2,288",Studio,1 Bath,NA,https://streeteasy.com/building/the-metropolitan-132_77-metropolitan-avenue-kew_gardens/4f?featured=1
Rental Unit,Stuyvesant Heights,591 Madison Street #3F,"$2,300",1 Bed,1 Bath,NA,https://streeteasy.com/building/591-madison-street-brooklyn/3f
Co-op,Murray Hill (Queens),144-24 37th Avenue #5I,"$1,950",1 Bed,1 Bath,NA,https://streeteasy.com/building/144_24-37-avenue-flushing/5i
Co-op,Forest Hills,111-45 76 Drive #E8,"$2,395",1 Bed,1 Bath,800,https://streeteasy.com/building/111_45-76-drive-forest_hills/e8
Rental Unit,Washington Heights,512 West 171st Street #4B,"$2,400",1 Bed,1 Bath,NA,https://streeteasy.com/building/512-west-171st-street-new_york/4b
Rental Unit,Fort George,2 Ellwood Street #6G,"$1,875",1 Bed,1 Bath,NA,https://streeteasy.com/building/2-ellwood-street-new_york/6g
Rental Unit,Hudson Heights,630 Ft Washington Avenue #6J,"$2,300",1 Bed,1 Bath,NA,https://streeteasy.com/building/630-ft-washington-avenue-new_york/6j
Rental Unit,Long Island City,36-27 30th Street #2,"$2,400",1 Bed,1 Bath,NA,https://streeteasy.com/building/36_27-30-street-astoria/2
Rental Unit,Astoria,25-88 36th Street #2F,"$2,395",1 Bed,1 Bath,NA,https://streeteasy.com/building/25_88-36-street-astoria/2f
Rental Unit,East Harlem,162 East 122nd Street #3A,"$2,000",Studio,1 Bath,589,https://streeteasy.com/building/162-east-122-street-new_york/3a
Rental Unit,Fort George,24 Sickles Street #E12,"$2,085",1 Bed,1 Bath,NA,https://streeteasy.com/building/14-sickles-street-new_york/e12
Co-op,South Harlem,230 West 123rd Street #4E,"$2,400",1 Bed,1 Bath,NA,https://streeteasy.com/building/230-west-123-street-new_york/4e
Rental Unit,Woodside,46-09 69th Street #211,"$2,850",Studio,1 Bath,NA,https://streeteasy.com/building/46_09-69-street-woodside/211?featured=1
Rental Unit,Manhattanville,3333E Broadway #E4F,"$2,725",1 Bed,1 Bath,NA,https://streeteasy.com/building/3333e-broadway-manhattanville/e4f?featured=1
